novell:netware,CWE-119,0.114286
microsoft:windows_2003_server,CWE-20,0.113895
apache:tomcat,CWE-200,0.113636
microsoft:windows_xp,CWE-119,0.11326
oracle:oracle9i,CWE-119,0.113208
ibm:smartcloud_control_desk,CWE-89,0.113208
squirrelmail:squirrelmail,CWE-79,0.113208
microsoft:excel,CWE-20,0.113095
ibm:maximo_asset_management,CWE-89,0.11236
apple:iphone_os,CWE-200,0.112019
mantisbt:mantisbt,CWE-89,0.111111
sun:sdk,CWE-119,0.110169
mit:kerberos,CWE-20,0.110169
fedoraproject:fedora,CWE-264,0.110169
ibm:db2,CWE-20,0.110092
realnetworks:realplayer_sp,CWE-94,0.109756
microsoft:windows_server_2008,CWE-119,0.109281
novell:opensuse,CWE-20,0.109244
cisco:adaptive_security_appliance_software,CWE-119,0.108527
cisco:adaptive_security_appliance_software,CWE-264,0.108527
microsoft:windows_server_2008,CWE-94,0.107784
microsoft:windows_xp,CWE-20,0.107735
typo3:typo3,CWE-20,0.107527
joomla:joomla,CWE-79,0.107527
microsoft:ie,CWE-94,0.106518
mozilla:seamonkey,CWE-264,0.106475
microsoft:windows_8.1,CWE-200,0.106195
microsoft:windows_rt,CWE-200,0.105991
microsoft:windows_7,CWE-119,0.105948
videolan:vlc_media_player,CWE-399,0.105263
libtiff:libtiff,CWE-20,0.105263
videolan:vlc_media_player,CWE-20,0.105263
e107:e107,CWE-89,0.105263
microsoft:windows_2003_server,CWE-399,0.104784
linux:linux_kernel,CWE-119,0.104059
juniper:junos,CWE-79,0.102941
digium:asterisk,CWE-399,0.102941
mozilla:firefox,CWE-264,0.10279
microsoft:office,CWE-20,0.102564
tiki:tikiwiki_cms%2fgroupware,CWE-20,0.102041
cisco:adaptive_security_appliance,CWE-264,0.102041
tiki:tikiwiki_cms%2fgroupware,CWE-200,0.102041
apple:watchos,CWE-200,0.101852
fedoraproject:fedora,CWE-20,0.101695
sun:sdk,CWE-264,0.101695
php:php,CWE-20,0.101655
redhat:jboss_enterprise_application_platform,CWE-200,0.101449
microsoft:windows_rt,CWE-94,0.101382
microsoft:open_xml_file_format_converter,CWE-399,0.101266
novell:opensuse,CWE-189,0.10084
openssl:openssl,CWE-119,0.1
rubyonrails:ruby_on_rails,CWE-264,0.1
adobe:coldfusion,CWE-264,0.1
microsoft:office,CWE-399,0.0997151
apple:apple_tv,CWE-20,0.0990991
google:chrome,CWE-264,0.0986257
mozilla:thunderbird,CWE-264,0.0984308
microsoft:windows_xp,CWE-399,0.0980663
puppetlabs:puppet,CWE-287,0.0980392
puppetlabs:puppet,CWE-20,0.0980392
puppetlabs:puppet,CWE-200,0.0980392
hp:system_management_homepage,CWE-352,0.0980392
mozilla:bugzilla,CWE-352,0.0979021
redhat:enterprise_linux,CWE-264,0.0976431
linux:linux_kernel,CWE-264,0.096679
microsoft:windows,CWE-94,0.0963855
postgresql:postgresql,CWE-189,0.0963855
cisco:5500_series_adaptive_security_appliance,CWE-264,0.0961538
microsoft:windows_media_player,CWE-94,0.0961538
ibm:websphere_portal,CWE-399,0.0957447
apple:iphone_os,CWE-264,0.0956826
gnu:glibc,CWE-264,0.0952381
apache:http_server,CWE-399,0.0952381
ibm:aix,CWE-264,0.0949367
microsoft:windows_8,CWE-200,0.0944882
microsoft:windows_8,CWE-94,0.0944882
debian:debian_linux,CWE-119,0.0942857
microsoft:windows_xp,CWE-94,0.0939227
apple:mac_os_x_server,CWE-264,0.0935024
vmware:server,CWE-399,0.0925926
mantisbt:mantisbt,CWE-200,0.0925926
microsoft:windows_7,CWE-94,0.0910781
owncloud:owncloud,CWE-200,0.0909091
